Area,Year,1. Median,2. Median,3. Median,4. Median,5. Median,6. Median,7. Median,8. Median,9. Median,10. Median
TR61 (Antalya Isparta Burdur),2018,7973.72,10412.4,13265.56,15383.24,18044.03,20891.41,24730.94,28844.74,36699.71,57600.77
TR62 (Adana Mersin),2018,6600,9250,11279.41,13205.27,15584.4,18099.92,21904.77,26847.31,35016.93,58246.36
TR63 (Hatay Kahramanmaraş Osmaniye),2018,5440.3,7889.72,9246.15,11038.33,12733.79,14539.91,16432.3,21110.73,26294.71,47187.71
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2018,6428.57,9091.76,10896.96,13001.12,15527.03,17087.94,19963.79,24003.55,31065.63,45003.38
TR72 (Kayseri Sivas Yozgat),2018,6315.93,9357.14,11321.3,13654.38,15434.24,17913.2,20048.28,22589.65,27727.22,42870.36
TR81 (Zonguldak Karabük Bartın),2018,8422.25,11591.23,13916.92,15618.15,17525.32,19219.11,22619.05,25645.21,32899.72,48125
TR82 (Kastamonu Çankırı Sinop),2018,6415.42,9429.2,12100,14074.82,16268.24,18666.51,21706.06,25938.45,33170.52,47819.41
TR83 (Samsun Tokat Çorum Amasya),2018,6296.65,9313.55,11573.79,13680.03,15521.61,17713.65,20351.18,24261.24,30250.48,48646.74
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2018,6517.36,10447.83,12482.66,13657.78,15533.33,17685.71,20510,24307.81,31226.95,48490.42
TRA1 (Erzurum Erzincan Bayburt),2018,6630.43,9408.96,11087.83,12855.32,15151.07,16665.77,19324.51,22302.15,26838.34,42913.11
TRA2 (Ağrı Kars Iğdır Ardahan),2018,4200,6307.21,7548.94,8656.07,10112.87,11860.94,13824.72,16759.16,21569.51,35668.07
TRB1 (Malatya Elazığ Bingöl Tunceli),2018,7188.15,9468.55,11391.46,12504.44,14341.06,16340.22,18803.06,22121.58,28585.33,40693.33
TRB2 (Van Muş Bitlis Hakkari),2018,3408.77,5017.08,6116.04,7154.93,8417.96,9579.55,10702.6,13132.27,16595.11,25400.22
TRC1 (Gaziantep Adıyaman Kilis),2018,6482.76,8000,9155.17,10581.42,12001.26,13578.07,16275.53,19116.68,23492.05,38577.29
TRC2 (Şanlıurfa Diyarbakır),2018,3652.37,4789.28,5710.68,6778.72,7859.47,9191.15,11018.73,12457.56,17049.06,27980.18
TRC3 (Mardin Batman Şırnak Siirt),2018,3608.33,5165.83,6177.03,6945.35,8014.43,9072.37,10363.59,12496.6,16692.17,26336.4
TR Türkiye,2017,5625,8335.98,10522.63,12572.64,14684.43,17224.45,20252.01,24557.32,31800,51493.71
TR10 (İstanbul),2017,8819,11382.03,13799.18,16221.43,18862.05,22283.32,26400,32191.05,42978.21,86988.04
TR21 (Tekirdağ Edirne Kırklareli),2017,7833.33,11400.89,14056.01,16656.02,19353.82,21701.67,25477.01,30321.1,37786.62,60479.2
TR22 (Balıkesir Çanakkale),2017,5566.67,8523.57,10673.75,12916.43,14566.99,16809.65,19586.57,22283.36,28297.65,43200
TR31 (İzmir),2017,6807.63,11036.46,13062.24,15561.11,18229.57,21572.21,24982.94,30628.67,40782.35,63892.31
TR32 (Aydın Denizli Muğla),2017,7120.83,10267.8,12000,13800,15635.12,17576.87,20175.41,24375,29700.36,43554.25
TR33 (Manisa Afyon Kütahya Uşak),2017,7226.35,9438.52,11152.04,12732.82,14003.02,15800,18180.95,21391.85,27590.8,41558.03
TR41 (Bursa Eskişehir Bilecik),2017,8071.19,10960,13863.58,15773.55,17740.56,20516.08,23308.31,26796.35,32059.28,47721.56
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2017,8654.09,11428.57,13777.78,15466.51,17565.39,19535.16,22161.09,25682.5,32793.26,50720.4
TR51 (Ankara),2017,8146.4,11502.23,13750,16553.26,18636.62,21689.82,25672.38,31967,40103.57,60726.73
TR52 (Konya Karaman),2017,6019.27,8373.64,10478,11993.53,13976.7,16326.55,19186.34,23122.2,27618.82,42361.02
TR61 (Antalya Isparta Burdur),2017,6800,9594.79,11839.44,13950,16300.4,18854.59,22355.01,26404.01,32398.25,48045.8
TR62 (Adana Mersin),2017,5440.5,8271.03,10000,11973.98,13810.61,16340.71,19891.77,24400.02,32764.28,49900.16
TR63 (Hatay Kahramanmaraş Osmaniye),2017,4337.5,6482.21,8057.16,9683.65,11001.58,13044,15181.16,18302.45,23822.27,39710.59
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2017,6172.1,8970.83,10301.02,11991.26,14010.22,16459.5,18518.46,21803.36,26278.23,39807.24
TR72 (Kayseri Sivas Yozgat),2017,6220.99,8635.7,10249.51,11503.61,13082.05,15260.54,17644.24,20453.08,24952.38,40949.36
TR81 (Zonguldak Karabük Bartın),2017,8307.45,11104.15,12867.22,15082.46,16828.62,18547.92,20711.77,24199.36,30418.44,48037.38
